Object_size, Total_Ptrs, Uniq_Ptrs, Duplicate_Ptrs, Valid_Ptrs
16, 10225, 1094, 9131, 145
16, 10530, 1094, 9436, 173
16, 10146, 1095, 9051, 129
16, 10496, 1095, 9401, 169
16, 10800, 1095, 9705, 253
16, 10194, 1096, 9098, 128
16, 10132, 1097, 9035, 170
16, 10226, 1097, 9129, 131
16, 10240, 1097, 9143, 168
16, 10240, 1097, 9143, 184
16, 10346, 1097, 9249, 235
16, 10256, 1098, 9158, 188
16, 10398, 1098, 9300, 190
16, 9979, 1098, 8881, 152
16, 10142, 1100, 9042, 139
16, 10270, 1100, 9170, 147
16, 10535, 1100, 9435, 180
16, 10650, 1100, 9550, 141
16, 10408, 1101, 9307, 175
16, 10004, 1102, 8902, 191
16, 10311, 1105, 9206, 123
16, 10469, 1106, 9363, 113
16, 10025, 1107, 8918, 145
16, 10149, 1107, 9042, 159
16, 10425, 1108, 9317, 135
16, 10848, 1108, 9740, 154
16, 10066, 1109, 8957, 150
16, 10387, 1109, 9278, 175
16, 10199, 1110, 9089, 98
16, 10230, 1110, 9120, 125
16, 10313, 1111, 9202, 155
16, 10013, 1112, 8901, 176
16, 10147, 1112, 9035, 149
16, 10797, 1112, 9685, 199
16, 9976, 1112, 8864, 133
16, 10616, 1113, 9503, 245
16, 10636, 1113, 9523, 211
16, 10151, 1114, 9037, 194
16, 10156, 1116, 9040, 130
16, 10207, 1116, 9091, 181
16, 10343, 1116, 9227, 41
16, 10125, 1117, 9008, 123
16, 10164, 1117, 9047, 71
16, 10166, 1117, 9049, 180
16, 10339, 1117, 9222, 73
16, 10135, 1118, 9017, 177
16, 10147, 1118, 9029, 114
16, 10162, 1118, 9044, 183
16, 10159, 1119, 9040, 145
16, 10212, 1119, 9093, 226
16, 10221, 1119, 9102, 90
16, 10561, 1119, 9442, 189
16, 9997, 1119, 8878, 131
16, 10378, 1120, 9258, 177
16, 10542, 1120, 9422, 152
16, 10124, 1121, 9003, 196
16, 10030, 1122, 8908, 144
16, 10050, 1122, 8928, 132
16, 10209, 1122, 9087, 166
16, 10488, 1123, 9365, 280
16, 10003, 1124, 8879, 153
16, 10055, 1124, 8931, 145
16, 10090, 1124, 8966, 153
16, 10080, 1125, 8955, 171
16, 10197, 1125, 9072, 141
16, 10273, 1125, 9148, 135
16, 10313, 1125, 9188, 114
16, 10788, 1125, 9663, 162
16, 10349, 1126, 9223, 160
16, 10489, 1126, 9363, 131
16, 10765, 1126, 9639, 199
16, 10827, 1126, 9701, 199
16, 10113, 1127, 8986, 256
16, 10384, 1127, 9257, 190
16, 10717, 1127, 9590, 189
16, 10097, 1128, 8969, 143
16, 10053, 1129, 8924, 185
16, 10102, 1129, 8973, 116
16, 10204, 1129, 9075, 139
16, 10291, 1129, 9162, 180
16, 10167, 1130, 9037, 137
